Index,Word,Start (s),End (s),Duration (s),Stressed,Stress Score,Intonation Trend,Pitch Slope (Hz),Average Pitch (Hz),Pause After (s)
1,My,0.000,0.440,0.440,No,0.000,↓,-20.06,229.7,0.00
2,"thought,",0.440,0.780,0.340,Yes,1.000,↓,-61.16,235.8,0.18
3,I,0.960,1.020,0.060,No,0.000,↑,17.94,194.3,0.00
4,have,1.020,1.180,0.160,No,0.000,↓,-8.44,198.9,0.00
5,nobody,1.180,1.540,0.360,No,0.000,↓,-25.1,192.4,0.00
6,by,1.540,1.740,0.200,No,0.000,→,0.61,176.0,0.00
7,a,1.740,1.880,0.140,No,0.000,↑,21.09,171.2,0.00
8,beauty,1.880,2.120,0.240,No,0.000,↓,-21.26,210.1,0.00
9,in,2.120,2.300,0.180,No,0.000,↑,6.62,168.3,0.00
10,will,2.300,2.440,0.140,No,0.000,→,5.33,188.7,0.00
11,as,2.440,2.620,0.180,No,0.000,↑,7.65,176.9,0.00
12,you,2.620,2.740,0.120,No,0.000,↓,-25.04,180.4,0.00
13,poured.,2.740,3.100,0.360,No,0.000,↓,-22.55,173.7,0.00
14,Mr.,3.920,4.160,0.240,No,0.000,→,6.09,250.8,0.00
15,Rochester,4.240,4.700,0.460,No,0.000,↑,88.53,265.1,0.00
16,is,4.700,4.980,0.280,No,0.000,↓,-174.5,251.8,0.00
17,"sir,",4.980,5.160,0.180,No,0.000,↑,14.38,153.1,0.10
18,been,5.260,5.360,0.100,No,0.000,↓,-15.37,191.5,0.00
19,that,5.360,5.540,0.180,No,0.000,↓,-16.91,175.4,0.00
20,so,5.540,5.780,0.240,No,0.000,↓,-23.93,196.2,0.00
21,don't,5.780,6.100,0.320,No,0.000,↓,-36.84,158.1,0.00
22,find,6.100,6.300,0.200,No,0.000,↓,-28.34,123.4,0.00
23,"simpous,",6.300,6.900,0.600,Yes,1.000,↑,108.59,215.5,0.36
24,and,7.260,7.520,0.260,No,0.000,→,2.16,256.9,0.00
25,devoted,7.520,7.860,0.340,No,0.000,↓,-64.28,228.1,0.00
26,"abode,",7.860,8.460,0.600,Yes,1.000,↑,36.49,187.8,0.68
27,to,9.140,9.220,0.080,No,0.000,→,2.2,262.9,0.00
28,at,9.220,9.380,0.160,No,0.000,↓,-27.78,256.0,0.00
29,might,9.380,9.640,0.260,No,0.000,→,-4.83,278.4,0.00
30,in,9.640,9.880,0.240,Yes,1.000,→,7.13,264.6,0.00
31,a,9.880,10.020,0.140,Yes,1.000,↓,-39.37,245.0,0.00
32,r—,10.020,10.020,0.000,Yes,1.000,→,0.0,225.3,0.00
